,ClienteID,Idade,Sexo,Trab,Habitação,Conta Poupança,Conta corrente,Montante de credito,Duração,Objetivo
0,0,67,Homem,2,Propria,,Pequena,1169,6,radio/TV
1,1,22,Mulher,2,Propria,Pequena,Moderada,5951,48,radio/TV
2,2,49,Homem,1,Propria,Pequena,,2096,12,Educação
3,3,45,Homem,2,Gratis,Pequena,Pequena,7882,42,Moveis/Equipamentos
4,4,53,Homem,2,Gratis,Pequena,Pequena,4870,24,Automovel
5,5,35,Homem,1,Gratis,,,9055,36,Educação
6,6,53,Homem,2,Propria,Muito Rica,,2835,24,Moveis/Equipamentos
7,7,35,Homem,3,Alugada,Pequena,Moderada,6948,36,Automovel
8,8,61,Homem,1,Propria,rich,,3059,12,radio/TV
9,9,28,Homem,3,Propria,Pequena,Moderada,5234,30,Automovel
10,10,25,Mulher,2,Alugada,Pequena,Moderada,1295,12,Automovel
11,11,24,Mulher,2,Alugada,Pequena,Pequena,4308,48,Negocios
12,12,22,Mulher,2,Propria,Pequena,Moderada,1567,12,radio/TV
13,13,60,Homem,1,Propria,Pequena,Pequena,1199,24,Automovel
14,14,28,Mulher,2,Alugada,Pequena,Pequena,1403,15,Automovel
15,15,32,Mulher,1,Propria,Moderada,Pequena,1282,24,radio/TV
16,16,53,Homem,2,Propria,,,2424,24,radio/TV
17,17,25,Homem,2,Propria,,Pequena,8072,30,Negocios
18,18,44,Mulher,3,Gratis,Pequena,Moderada,12579,24,Automovel
19,19,31,Homem,2,Propria,Muito Rica,,3430,24,radio/TV
20,20,48,Homem,2,Propria,Pequena,,2134,9,Automovel
21,21,44,Homem,2,Alugada,Muito Rica,Pequena,2647,6,radio/TV
22,22,48,Homem,1,Alugada,Pequena,Pequena,2241,10,Automovel
23,23,44,Homem,2,Propria,Moderada,Moderada,1804,12,Automovel
24,24,26,Homem,2,Propria,,,2069,10,Moveis/Equipamentos
25,25,36,Homem,1,Propria,Pequena,Pequena,1374,6,Moveis/Equipamentos
26,26,39,Homem,1,Propria,Pequena,,426,6,radio/TV
27,27,42,Mulher,2,Alugada,rich,Rica,409,12,radio/TV
28,28,34,Homem,2,Propria,Pequena,Moderada,2415,7,radio/TV
29,29,63,Homem,2,Propria,Pequena,Pequena,6836,60,Negocios
30,30,36,Homem,2,Propria,rich,Moderada,1913,18,Negocios
31,31,27,Homem,2,Propria,Pequena,Pequena,4020,24,Moveis/Equipamentos
32,32,30,Homem,2,Propria,Moderada,Moderada,5866,18,Automovel
33,33,57,Homem,1,Alugada,,,1264,12,Negocios
34,34,33,Mulher,3,Propria,Pequena,Rica,1474,12,Moveis/Equipamentos
35,35,25,Homem,1,Propria,Pequena,Moderada,4746,45,radio/TV
36,36,31,Homem,2,Gratis,Pequena,,6110,48,Educação
37,37,37,Homem,2,Propria,Pequena,Rica,2100,18,radio/TV
38,38,37,Homem,2,Propria,Pequena,Rica,1225,10,Eletrodomesticos
39,39,24,Homem,2,Propria,Pequena,Moderada,458,9,radio/TV
40,40,30,Homem,3,Propria,Muito Rica,,2333,30,radio/TV
41,41,26,Homem,2,Propria,Muito Rica,Moderada,1158,12,radio/TV
42,42,44,Homem,1,Propria,Pequena,Moderada,6204,18,repairs
43,43,24,Homem,2,Alugada,Moderada,Pequena,6187,30,Automovel
44,44,58,Mulher,1,Gratis,Pequena,Pequena,6143,48,Automovel
45,45,35,Mulher,3,Propria,Pequena,,1393,11,Automovel
46,46,39,Homem,2,Propria,Muito Rica,,2299,36,radio/TV
47,47,23,Mulher,0,Alugada,Muito Rica,Pequena,1352,6,Automovel
48,48,39,Homem,1,Propria,Pequena,,7228,11,Automovel
49,49,28,Mulher,2,Propria,Moderada,,2073,12,radio/TV
50,50,29,Homem,1,Propria,,Moderada,2333,24,Moveis/Equipamentos
51,51,30,Homem,3,Propria,Pequena,Moderada,5965,27,Automovel
52,52,25,Homem,2,Propria,Pequena,,1262,12,radio/TV
53,53,31,Homem,2,Propria,,,3378,18,Automovel
54,54,57,Homem,2,Gratis,Pequena,Moderada,2225,36,Automovel
55,55,26,Homem,1,Propria,,,783,6,Automovel
56,56,52,Homem,3,Propria,,Moderada,6468,12,radio/TV
57,57,31,Mulher,2,Propria,Pequena,,9566,36,radio/TV
58,58,23,Mulher,3,Propria,Pequena,Rica,1961,18,Automovel
59,59,23,Mulher,1,Alugada,Pequena,Pequena,6229,36,Moveis/Equipamentos
60,60,27,Homem,2,Propria,Pequena,Moderada,1391,9,Negocios
61,61,50,Homem,2,Propria,,Moderada,1537,15,radio/TV
62,62,61,Homem,3,Gratis,Pequena,Moderada,1953,36,Negocios
63,63,25,Homem,2,Propria,Pequena,Moderada,14421,48,Negocios
64,64,26,Mulher,2,Propria,Pequena,,3181,24,radio/TV
65,65,48,Homem,2,Propria,,,5190,27,repairs
66,66,29,Mulher,2,Propria,Pequena,,2171,12,radio/TV
67,67,22,Homem,2,Propria,rich,Moderada,1007,12,Automovel
68,68,37,Homem,2,Gratis,Pequena,,1819,36,Educação
69,69,25,Mulher,2,Propria,,,2394,36,radio/TV
70,70,30,Mulher,2,Propria,Pequena,,8133,36,Automovel
71,71,46,Homem,1,Alugada,,,730,7,radio/TV
72,72,51,Homem,3,Gratis,Pequena,Pequena,1164,8,vacation/others
73,73,41,Mulher,1,Propria,Pequena,Moderada,5954,42,Negocios
74,74,40,Homem,3,Propria,,Pequena,1977,36,Educação
75,75,66,Homem,3,Gratis,Pequena,Pequena,1526,12,Automovel
76,76,34,Homem,2,Propria,Pequena,Pequena,3965,42,radio/TV
77,77,51,Homem,2,Propria,Pequena,Moderada,4771,11,radio/TV
78,78,39,Homem,1,Propria,,,9436,54,Automovel
79,79,22,Homem,2,Propria,Pequena,Moderada,3832,30,Moveis/Equipamentos
80,80,44,Mulher,2,Propria,,,5943,24,radio/TV
81,81,47,Homem,2,Propria,Muito Rica,,1213,15,radio/TV
82,82,24,Mulher,1,Alugada,Moderada,,1568,18,Negocios
83,83,58,Mulher,1,Propria,Pequena,Pequena,1755,24,vacation/others
84,84,52,Homem,1,Propria,Pequena,Pequena,2315,10,radio/TV
85,85,29,Mulher,3,Propria,Pequena,,1412,12,Negocios
86,86,27,Mulher,2,Propria,Pequena,Moderada,1295,18,Moveis/Equipamentos
87,87,47,Homem,2,Gratis,Moderada,Moderada,12612,36,Educação
88,88,30,Homem,3,Propria,Moderada,Pequena,2249,18,Automovel
89,89,28,Homem,2,Propria,Pequena,Pequena,1108,12,repairs
90,90,56,Homem,2,Propria,Pequena,,618,12,radio/TV
91,91,54,Homem,2,Propria,Pequena,Pequena,1409,12,Automovel
92,92,33,Mulher,1,Propria,,,797,12,radio/TV
93,93,20,Homem,2,Alugada,,Rica,3617,24,Moveis/Equipamentos
94,94,54,Homem,2,Propria,rich,Moderada,1318,12,Automovel
95,95,58,Homem,2,Alugada,Pequena,Moderada,15945,54,Negocios
96,96,61,Mulher,2,Propria,,,2012,12,Educação
97,97,34,Homem,2,Propria,Moderada,Moderada,2622,18,Negocios
98,98,36,Homem,2,Propria,Pequena,Moderada,2337,36,radio/TV
99,99,36,Homem,3,Alugada,,Moderada,7057,20,Automovel
100,100,41,Homem,1,Alugada,Moderada,,1469,24,Automovel
101,101,24,Homem,2,Alugada,Pequena,Moderada,2323,36,radio/TV
102,102,24,Mulher,2,Propria,Pequena,,932,6,radio/TV
103,103,35,Homem,2,Alugada,Pequena,Moderada,1919,9,Moveis/Equipamentos
104,104,26,Homem,2,Alugada,,,2445,12,Automovel
105,105,39,Homem,3,Propria,Pequena,Moderada,11938,24,vacation/others
106,106,39,Homem,3,Propria,Pequena,,6458,18,Automovel
107,107,32,Homem,2,Propria,Pequena,Moderada,6078,12,Automovel
108,108,30,Mulher,2,Propria,,Pequena,7721,24,Moveis/Equipamentos
109,109,35,Homem,2,Propria,Muito Rica,Moderada,1410,14,Negocios
110,110,31,Homem,2,Propria,Moderada,Moderada,1449,6,Negocios
111,111,23,Mulher,2,Alugada,Pequena,Rica,392,15,Educação
112,112,28,Homem,1,Alugada,Pequena,Moderada,6260,18,Automovel
113,113,25,Mulher,2,Propria,Pequena,,7855,36,Automovel
114,114,35,Homem,2,Propria,Muito Rica,Pequena,1680,12,radio/TV
115,115,47,Homem,2,Propria,,,3578,48,radio/TV
116,116,30,Mulher,3,Propria,,Pequena,7174,42,radio/TV
117,117,27,Mulher,2,Alugada,,Pequena,2132,10,Moveis/Equipamentos
118,118,23,Mulher,2,Propria,Muito Rica,Pequena,4281,33,Moveis/Equipamentos
119,119,36,Homem,3,Propria,Muito Rica,Moderada,2366,12,Automovel
120,120,25,Mulher,2,Propria,Pequena,Pequena,1835,21,radio/TV
121,121,41,Mulher,3,Alugada,Pequena,,3868,24,Automovel
122,122,24,Homem,1,Alugada,Pequena,,1768,12,Moveis/Equipamentos
123,123,63,Homem,2,Gratis,Pequena,Rica,781,10,Automovel
124,124,27,Mulher,2,Alugada,,Moderada,1924,18,Moveis/Equipamentos
125,125,30,Homem,2,Propria,Pequena,Pequena,2121,12,Automovel
126,126,40,Homem,1,Propria,Pequena,Pequena,701,12,radio/TV
127,127,30,Homem,2,Propria,Pequena,Moderada,639,12,repairs
128,128,34,Homem,3,Propria,Pequena,Moderada,1860,12,Automovel
129,129,29,Mulher,2,Propria,Pequena,Pequena,3499,12,Automovel
130,130,24,Mulher,2,Propria,,Moderada,8487,48,Automovel
131,131,29,Homem,2,Propria,Pequena,Pequena,6887,36,Educação
132,132,27,Homem,1,Propria,Pequena,,2708,15,Moveis/Equipamentos
133,133,47,Homem,2,Gratis,Pequena,,1984,18,Moveis/Equipamentos
134,134,21,Mulher,2,Propria,Moderada,,10144,60,radio/TV
135,135,38,Mulher,2,Propria,,,1240,12,radio/TV
136,136,27,Homem,2,Propria,rich,,8613,27,Automovel
137,137,66,Homem,1,Propria,Muito Rica,Moderada,766,12,radio/TV
138,138,35,Homem,2,Propria,,Moderada,2728,15,radio/TV
139,139,44,Mulher,1,Alugada,Pequena,Rica,1881,12,radio/TV
140,140,27,Homem,0,Propria,rich,Rica,709,6,Automovel
141,141,30,Mulher,3,Propria,Pequena,Moderada,4795,36,radio/TV
142,142,27,Homem,3,Propria,Pequena,Pequena,3416,27,radio/TV
143,143,22,Homem,2,Propria,Pequena,Pequena,2462,18,Moveis/Equipamentos
144,144,23,Mulher,2,Propria,Pequena,,2288,21,Moveis/Equipamentos
145,145,30,Homem,2,Propria,Moderada,Moderada,3566,48,Negocios
146,146,39,Mulher,2,Propria,Pequena,Pequena,860,6,Automovel
147,147,51,Mulher,2,Propria,Moderada,,682,12,Automovel
148,148,28,Homem,2,Propria,Pequena,Pequena,5371,36,Moveis/Equipamentos
149,149,46,Homem,2,Propria,rich,,1582,18,radio/TV
150,150,42,Homem,2,Gratis,Moderada,,1346,6,radio/TV
151,151,38,Homem,2,Propria,Pequena,,1924,10,radio/TV
152,152,24,Homem,2,Propria,Pequena,Rica,5848,36,radio/TV
153,153,29,Mulher,2,Alugada,rich,Moderada,7758,24,Automovel
154,154,36,Homem,3,Alugada,Moderada,Moderada,6967,24,Negocios
155,155,20,Mulher,2,Alugada,Pequena,Pequena,1282,12,Moveis/Equipamentos
156,156,48,Homem,2,Propria,Moderada,Pequena,1288,9,repairs
157,157,45,Homem,1,Propria,Pequena,Pequena,339,12,Educação
158,158,38,Homem,2,Propria,Moderada,Moderada,3512,24,Automovel
159,159,34,Homem,1,Propria,,,1898,6,radio/TV
160,160,36,Homem,2,Propria,Moderada,,2872,24,radio/TV
161,161,30,Mulher,2,Propria,Pequena,,1055,18,Automovel
162,162,36,Homem,2,Propria,Muito Rica,,1262,15,Eletrodomesticos
163,163,70,Homem,3,Gratis,Pequena,Moderada,7308,10,Automovel
164,164,36,Homem,2,Propria,Muito Rica,,909,36,Automovel
165,165,32,Homem,2,Propria,Muito Rica,,2978,6,Moveis/Equipamentos
166,166,33,Mulher,2,Propria,Pequena,Pequena,1131,18,Moveis/Equipamentos
167,167,20,Mulher,2,Propria,rich,Moderada,1577,11,Moveis/Equipamentos
168,168,25,Mulher,2,Alugada,Pequena,,3972,24,Moveis/Equipamentos
169,169,31,Homem,2,Propria,Pequena,Moderada,1935,24,Negocios
170,170,33,Homem,2,Alugada,Pequena,Pequena,950,15,Automovel
171,171,26,Mulher,2,Propria,Pequena,,763,12,Moveis/Equipamentos
172,172,34,Mulher,3,Propria,Pequena,Moderada,2064,24,Moveis/Equipamentos
173,173,33,Homem,2,Propria,Pequena,Moderada,1414,8,radio/TV
174,174,26,Homem,2,Propria,Pequena,Pequena,3414,21,Educação
175,175,53,Mulher,3,Propria,,,7485,30,Automovel
176,176,42,Homem,2,Propria,Pequena,Pequena,2577,12,Moveis/Equipamentos
177,177,52,Homem,2,Propria,Muito Rica,Pequena,338,6,radio/TV
178,178,31,Homem,3,Alugada,Pequena,,1963,12,radio/TV
179,179,65,Homem,2,Propria,Pequena,Pequena,571,21,Automovel
180,180,28,Homem,2,Propria,Pequena,,9572,36,Negocios
181,181,30,Homem,3,Propria,Pequena,Moderada,4455,36,Negocios
182,182,40,Homem,1,Propria,,Pequena,1647,21,Automovel
183,183,50,Homem,2,Propria,rich,,3777,24,Moveis/Equipamentos
184,184,36,Homem,2,Propria,Pequena,Moderada,884,18,Automovel
185,185,31,Homem,2,Propria,Pequena,,1360,15,radio/TV
186,186,74,Mulher,3,Gratis,Pequena,Moderada,5129,9,Automovel
187,187,68,Homem,0,Gratis,Pequena,Moderada,1175,16,Automovel
188,188,20,Homem,2,Propria,Moderada,Pequena,674,12,radio/TV
189,189,33,Mulher,2,Propria,Pequena,Moderada,3244,18,Moveis/Equipamentos
190,190,54,Homem,3,Propria,rich,,4591,24,Negocios
191,191,34,Homem,1,Gratis,Moderada,Moderada,3844,48,Negocios
192,192,36,Homem,2,Propria,Pequena,Moderada,3915,27,Negocios
193,193,29,Homem,2,Alugada,Pequena,,2108,6,radio/TV
194,194,21,Homem,2,Alugada,Moderada,Moderada,3031,45,radio/TV
195,195,34,Mulher,3,Propria,Pequena,Moderada,1501,9,Educação
196,196,28,Mulher,2,Propria,Pequena,,1382,6,radio/TV
197,197,27,Mulher,2,Alugada,Moderada,Moderada,951,12,Moveis/Equipamentos
198,198,36,Homem,2,Gratis,,Moderada,2760,24,Automovel
199,199,40,Homem,3,Propria,Pequena,Moderada,4297,18,Moveis/Equipamentos
200,200,52,Homem,2,Propria,Muito Rica,,936,9,Educação
201,201,27,Homem,1,Propria,Pequena,Pequena,1168,12,Automovel
202,202,26,Homem,2,Propria,Pequena,,5117,27,Negocios
203,203,21,Homem,2,Alugada,Pequena,Pequena,902,12,Educação
204,204,38,Homem,1,Propria,Pequena,,1495,12,Automovel
205,205,38,Homem,3,Gratis,Pequena,Pequena,10623,30,Automovel
206,206,43,Homem,2,Propria,Pequena,,1935,12,Moveis/Equipamentos
207,207,26,Homem,2,Propria,Pequena,Moderada,1424,12,Eletrodomesticos
208,208,21,Homem,1,Propria,Pequena,Pequena,6568,24,Negocios
209,209,55,Homem,2,Propria,rich,,1413,12,Automovel
210,210,33,Homem,2,Propria,,,3074,9,radio/TV
211,211,45,Mulher,1,Propria,,,3835,36,radio/TV
212,212,50,Homem,2,Propria,Pequena,Pequena,5293,27,Negocios
213,213,66,Homem,3,Propria,Pequena,Rica,1908,30,Negocios
214,214,51,Homem,2,Propria,,,3342,36,radio/TV
215,215,39,Mulher,1,Propria,,Moderada,932,6,Educação
216,216,31,Homem,2,Propria,Pequena,Pequena,3104,18,Negocios
217,217,23,Homem,2,Propria,Pequena,Rica,3913,36,radio/TV
218,218,24,Homem,1,Alugada,Pequena,Pequena,3021,24,Moveis/Equipamentos
219,219,64,Mulher,2,Propria,Pequena,,1364,10,Automovel
220,220,26,Homem,1,Propria,Pequena,Moderada,625,12,radio/TV
221,221,23,Mulher,2,Alugada,,Pequena,1200,12,Educação
222,222,30,Homem,2,Propria,Pequena,,707,12,radio/TV
223,223,32,Homem,2,Propria,,,2978,24,Negocios
224,224,30,Homem,2,Propria,Pequena,,4657,15,Automovel
225,225,27,Homem,2,Propria,Pequena,,2613,36,repairs
226,226,27,Homem,2,Propria,rich,Moderada,10961,48,radio/TV
227,227,53,Homem,3,Gratis,Pequena,Pequena,7865,12,Moveis/Equipamentos
228,228,22,Homem,2,Propria,Pequena,,1478,9,radio/TV
229,229,22,Homem,2,Gratis,Pequena,Pequena,3149,24,Moveis/Equipamentos
230,230,26,Homem,2,Propria,Pequena,Rica,4210,36,radio/TV
231,231,51,Homem,1,Gratis,Muito Rica,,2507,9,Automovel
232,232,35,Homem,2,Propria,Moderada,,2141,12,radio/TV
233,233,25,Homem,1,Propria,Pequena,Moderada,866,18,radio/TV
234,234,42,Homem,1,Propria,Pequena,,1544,4,radio/TV
235,235,30,Homem,3,Propria,Pequena,Pequena,1823,24,radio/TV
236,236,23,Homem,0,Propria,,Moderada,14555,6,Automovel
237,237,61,Homem,1,Alugada,Moderada,Moderada,2767,21,Negocios
238,238,35,Mulher,2,Propria,Pequena,,1291,12,radio/TV
239,239,39,Homem,2,Propria,Pequena,Pequena,2522,30,radio/TV
240,240,29,Mulher,2,Propria,,Pequena,915,24,Automovel
241,241,51,Homem,2,Propria,Pequena,,1595,6,radio/TV
242,242,24,Homem,2,Gratis,Pequena,Pequena,4605,48,Automovel
243,243,27,Mulher,2,Propria,Pequena,,1185,12,Negocios
244,244,35,Mulher,1,Propria,Muito Rica,,3447,12,Educação
245,245,25,Homem,2,Propria,Pequena,,1258,24,Negocios
246,246,52,Homem,2,Propria,Pequena,,717,12,radio/TV
247,247,35,Homem,2,Alugada,Moderada,,1204,6,Automovel
248,248,26,Homem,2,Propria,Pequena,Rica,1925,24,Moveis/Equipamentos
249,249,22,Mulher,2,Alugada,Pequena,,433,18,radio/TV
250,250,39,Mulher,1,Propria,rich,Pequena,666,6,Automovel
251,251,46,Mulher,1,Propria,Pequena,Rica,2251,12,Moveis/Equipamentos
252,252,24,Mulher,2,Propria,Pequena,Moderada,2150,30,Automovel
253,253,35,Homem,2,Propria,Moderada,,4151,24,Moveis/Equipamentos
254,254,24,Homem,2,Propria,,Moderada,2030,9,Moveis/Equipamentos
255,255,27,Homem,1,Propria,,Moderada,7418,60,radio/TV
256,256,35,Homem,1,Propria,Pequena,,2684,24,radio/TV
257,257,29,Homem,2,Gratis,Pequena,Pequena,2149,12,radio/TV
258,258,23,Mulher,2,Propria,Moderada,,3812,15,Automovel
259,259,57,Mulher,1,Propria,Moderada,,1154,11,radio/TV
260,260,27,Homem,2,Propria,Pequena,Pequena,1657,12,Moveis/Equipamentos
261,261,55,Mulher,2,Propria,Pequena,Pequena,1603,24,radio/TV
262,262,36,Homem,3,Gratis,Pequena,Pequena,5302,18,Automovel
263,263,57,Mulher,1,Gratis,Pequena,,2748,12,Educação
264,264,32,Homem,1,Propria,Pequena,,1231,10,Automovel
265,265,37,Homem,2,Propria,Pequena,Moderada,802,15,radio/TV
266,266,36,Homem,2,Propria,,,6304,36,Negocios
267,267,38,Mulher,2,Propria,Pequena,,1533,24,radio/TV
268,268,45,Homem,3,Propria,Pequena,Pequena,8978,14,Automovel
269,269,25,Homem,2,Propria,,,999,24,radio/TV
270,270,32,Homem,2,Propria,,,2662,18,Automovel
271,271,37,Mulher,2,Alugada,Muito Rica,,1402,12,Moveis/Equipamentos
272,272,36,Homem,3,Gratis,,Moderada,12169,48,Automovel
273,273,28,Homem,2,Propria,Pequena,Moderada,3060,48,radio/TV
274,274,34,Homem,1,Propria,Pequena,Pequena,11998,30,repairs
275,275,32,Homem,2,Propria,Pequena,,2697,9,radio/TV
276,276,26,Mulher,2,Propria,Pequena,,2404,18,radio/TV
277,277,49,Homem,1,Propria,,Pequena,1262,12,Moveis/Equipamentos
278,278,32,Mulher,2,Propria,Pequena,,4611,6,Moveis/Equipamentos
279,279,29,Homem,3,Alugada,Moderada,,1901,24,radio/TV
280,280,23,Homem,2,Alugada,rich,,3368,15,Automovel
281,281,50,Homem,2,Propria,Pequena,,1574,12,Moveis/Equipamentos
282,282,49,Homem,1,Propria,,Rica,1445,18,radio/TV
283,283,63,Homem,2,Propria,,,1520,15,Moveis/Equipamentos
284,284,37,Homem,2,Propria,Moderada,Moderada,3878,24,Automovel
285,285,35,Mulher,1,Propria,Pequena,Pequena,10722,47,Automovel
286,286,26,Homem,2,Propria,Pequena,Pequena,4788,48,Automovel
287,287,31,Homem,3,Gratis,Moderada,Moderada,7582,48,vacation/others
288,288,49,Mulher,2,Propria,Pequena,Moderada,1092,12,radio/TV
289,289,48,Homem,2,Propria,Pequena,Pequena,1024,24,radio/TV
290,290,26,Homem,2,Propria,Pequena,,1076,12,Negocios
291,291,28,Homem,3,Alugada,Pequena,Moderada,9398,36,Automovel
292,292,44,Mulher,3,Gratis,Pequena,Pequena,6419,24,Automovel
293,293,56,Homem,2,Gratis,Pequena,Rica,4796,42,Automovel
294,294,46,Homem,3,Propria,,,7629,48,Negocios
295,295,26,Mulher,2,Propria,Pequena,Moderada,9960,48,Moveis/Equipamentos
296,296,20,Mulher,2,Alugada,,,4675,12,Automovel
297,297,45,Homem,1,Propria,,,1287,10,Automovel
298,298,43,Homem,2,Propria,Pequena,,2515,18,Moveis/Equipamentos
299,299,32,Homem,2,Propria,rich,Moderada,2745,21,Moveis/Equipamentos
300,300,54,Mulher,0,Propria,Pequena,,672,6,Automovel
301,301,42,Mulher,2,Propria,Pequena,Moderada,3804,36,radio/TV
302,302,37,Homem,1,Propria,,Rica,1344,24,Automovel
303,303,49,Homem,2,Propria,Pequena,Pequena,1038,10,Automovel
304,304,44,Homem,2,Gratis,Muito Rica,,10127,48,Automovel
305,305,33,Homem,2,Propria,rich,,1543,6,Moveis/Equipamentos
306,306,24,Mulher,1,Alugada,,,4811,30,Automovel
307,307,33,Homem,1,Propria,Moderada,Pequena,727,12,radio/TV
308,308,24,Mulher,2,Propria,Pequena,Moderada,1237,8,Moveis/Equipamentos
309,309,22,Homem,1,Alugada,Pequena,Moderada,276,9,Automovel
310,310,40,Homem,0,Gratis,,Moderada,5381,48,vacation/others
311,311,25,Homem,2,Propria,Moderada,,5511,24,Moveis/Equipamentos
312,312,26,Mulher,2,Propria,Pequena,Rica,3749,24,Moveis/Equipamentos
313,313,25,Homem,1,Propria,Pequena,Moderada,685,12,Automovel
314,314,29,Homem,1,Propria,,Rica,1494,4,Automovel
315,315,31,Homem,2,Propria,Pequena,Pequena,2746,36,Moveis/Equipamentos
316,316,38,Homem,1,Propria,Pequena,Pequena,708,12,Moveis/Equipamentos
317,317,48,Mulher,1,Propria,,Moderada,4351,24,Moveis/Equipamentos
318,318,32,Homem,2,Propria,Pequena,,701,12,Educação
319,319,27,Mulher,1,Propria,Pequena,Pequena,3643,15,Moveis/Equipamentos
320,320,28,Homem,3,Propria,Pequena,Moderada,4249,30,Automovel
321,321,32,Homem,2,Propria,Pequena,Pequena,1938,24,radio/TV
322,322,34,Homem,3,Gratis,Pequena,Pequena,2910,24,Automovel
323,323,28,Homem,2,Propria,rich,Pequena,2659,18,Moveis/Equipamentos
324,324,36,Mulher,2,Propria,Pequena,,1028,18,Automovel
325,325,39,Homem,1,Propria,Pequena,Pequena,3398,8,Automovel
326,326,49,Homem,2,Alugada,,,5801,12,Moveis/Equipamentos
327,327,34,Mulher,2,Propria,rich,,1525,24,Automovel
328,328,31,Homem,2,Propria,Pequena,Rica,4473,36,radio/TV
329,329,28,Homem,2,Propria,Pequena,Moderada,1068,6,radio/TV
330,330,75,Homem,3,Gratis,Pequena,Pequena,6615,24,Automovel
331,331,30,Mulher,2,Propria,Moderada,,1864,18,Educação
332,332,24,Mulher,3,Propria,Moderada,Moderada,7408,60,Automovel
333,333,24,Mulher,1,Alugada,Moderada,,11590,48,Automovel
